"Ecuador","1,990","3,015","3,920","2,795"
"Falkland Islands (Malvinas)","0","0","0","0"
"French Guiana","20","50","35","45"
"Guyana","24,535","20,155","11,065","5,145"
"Paraguay","615","725","1,360","705"
"Peru","5,215","7,570","11,065","5,440"
"South Georgia and the South Sandwich Islands","0","0","0","0"
"Suriname","150","210","235","140"
"Uruguay","825","1,185","1,360","580"
"Venezuela 9","1,235","3,230","8,735","12,735"
"Austria","1,350","1,015","695","785"
"Belgium","1,910","1,805","2,775","3,180"
"France","7,635","15,545","26,550","45,840"
"Germany","11,665","10,340","15,275","11,030"
"Liechtenstein","0","0","0","0"
"Luxembourg","25","45","75","100"
"Monaco","0","30","45","35"
"Netherlands","6,895","5,295","5,460","3,450"
"Switzerland","3,035","3,725","2,120","2,115"
"Belarus","800","3,445","4,840","2,850"
"Bulgaria","610","5,545","9,875","2,770"
"Czechia","5,705","2,430","1,510","2,270"
"Estonia","90","725","415","315"
"Hungary","5,840","3,155","3,535","4,500"
"Latvia","395","1,290","980","1,110"
"Lithuania","400","900","1,355","1,085"
"Moldova 10","545","1,870","8,990","8,525"
"Poland","60,870","36,665","8,885","7,280"
"Romania","9,865","27,430","35,115","10,060"
"Russian Federation","2,225","24,045","31,395","21,690"
"Slovakia","2,765","2,410","2,345","1,990"
"Ukraine","2,875","19,895","26,935","26,470"
"Åland Islands","0","0","0","0"
"Denmark","745","490","455","690"
"Faroe Islands","0","15","0","0"
"Finland","565","350","535","705"
"Guernsey","10","15","20","25"
"Iceland","45","70","115","225"
"Ireland 11","4,320","1,610","2,020","10,270"
"Isle of Man","25","15","45","40"
"Jersey","60","25","30","110"
"Norway","280","365","400","625"
"Sark","0","0","0","0"
"Svalbard and Jan Mayen","0","0","0","0"
"Sweden","820","790","920","1,270"
"United Kingdom 12","55,320","29,340","45,040","43,010"
"Albania","15","4,130","8,000","5,500"
"Andorra","0","0","0","30"
"Bosnia and Herzegovina","815","27,670","2,855","1,615"
"Croatia","2,280","10,645","1,530","2,760"
"Gibraltar","20","30","25","15"
"Greece","4,130","2,445","1,245","3,350"
"Holy See (Vatican City State)","0","0","0","0"
"Italy","6,290","3,415","2,985","6,915"
"Kosovo 13","40","3,465","3,165","1,670"
"Malta","695","200","170","130"
"Montenegro","100","755","275","155"
"North Macedonia","965","2,090","2,825","1,110"
"Portugal","30,940","10,020","4,185","6,085"
"San Marino","0","0","0","0"
"Serbia 14","2,635","13,280","4,835","3,765"
"Slovenia","335","820","205","290"
"Spain","1,000","775","1,150","3,770"
"Benin","65","185","995","2,605"
"Burkina Faso","20","115","815","1,985"
"Cabo Verde","55","80","10","40"
"Côte d'Ivoire","210","795","4,170","13,625"
"Gambia","60","220","150","405"
"Ghana","2,555","9,845","6,405","5,775"
"Guinea","65","600","2,335","3,125"
"Guinea-Bissau","10","15","65","20"
"Liberia","120","330","1,370","770"
"Mali","45","330","870","1,575"
"Mauritania","10","40","545","645"
"Niger","10","50","435","730"
"Nigeria","795","4,415","17,750","57,200"
"Saint Helena, Ascension and Tristan da Cunha","0","0","0","0"
"Senegal","170","765","3,280","5,720"
"Sierra Leone","110","630","1,585","705"
"Togo","110","400","1,345","2,990"
"Burundi","180","1,265","3,930","7,460"
"Comoros","20","20","105","85"
"Djibouti","75","405","570","2,190"
"Eritrea","2,425","2,160","4,405","22,290"
"Ethiopia","4,750","7,685","11,740","17,085"
"Kenya","4,705","3,970","6,460","6,920"
"Madagascar","640","505","1,350","1,410"
"Malawi","100","125","110","365"
"Mauritius","2,715","1,645","5,950","6,395"
"Mayotte","0","0","0","0"
"Mozambique","320","205","130","195"
"Réunion","0","15","100","295"
"Rwanda","225","1,330","2,625","3,650"
"Seychelles","120","655","95","60"
"Somalia","1,365","12,920","6,705","11,420"
"South Sudan","55","1,435","3,285","1,200"
"Tanzania 15","4,650","2,480","2,775","2,970"
"Uganda","1,350","1,055","2,195","3,630"
"Zambia","480","685","780","845"
"Zimbabwe","965","985","5,225","3,850"
"Algeria","1,345","11,745","32,430","32,580"
"Egypt","6,450","11,400","17,750","27,410"
"Libya","300","1,040","2,475","4,245"
"Morocco","4,885","9,440","33,570","27,120"
"Sudan 16","500","3,460","4,740","7,170"
"Tunisia","750","1,820","6,610","14,440"
"Western Sahara","0","0","0","0"
"Angola","415","390","1,315","580"
"Cameroon","145","970","6,040","21,490"
"Central African Republic","30","45","225","1,385"
"Chad","30","190","585","1,115"
"Congo, Democratic Republic of the","570","5,170","10,605","16,050"
"Congo, Republic of the","55","305","1,175","1,440"
"Equatorial Guinea","0","0","25","10"
"Gabon","25","90","540","700"
"Sao Tome and Principe","0","0","0","0"
"Botswana","35","60","190","860"
"Eswatini","30","35","85","240"
"Lesotho","40","20","45","75"
"Namibia","45","120","240","940"
"South Africa, Republic of","6,570","10,645","10,275","14,415"
"Afghanistan","3,920","14,745","22,280","21,340"
"Armenia","250","750","1,740","2,120"
"Azerbaijan","165","925","2,180","1,905"
"Bahrain","180","890","705","940"
"Cyprus","490","255","230","360"
"Georgia","70","795","1,205","1,180"
"Iran 17","16,670","41,220","52,340","70,390"
"Iraq","3,415","16,740","24,720","37,950"
"Israel","3,985","3,440","7,485","9,215"
"Jordan","805","2,630","5,240","8,300"
"Kazakhstan","60","3,170","6,455","4,140"
"Kuwait","1,480","5,385","4,930","5,610"
"Kyrgyzstan","45","325","1,865","1,675"
"Lebanon","21,485","22,990","19,330","18,655"
"Oman","25","410","850","955"
"Qatar","135","690","1,085","2,190"
"Saudi Arabia","995","6,130","7,620","14,785"
"Syria 18","4,175","6,445","7,755","76,475"
"Tajikistan","10","255","750","540"
"Turkey","3,145","6,495","8,950","13,535"
"Turkmenistan","0","80","320","255"
"United Arab Emirates","765","4,465","9,445","14,710"
"Uzbekistan","210","1,420","3,035","2,250"
"West Bank and Gaza Strip 19","1,065","1,930","2,375","2,620"
"Yemen","120","785","1,120","2,570"
"China 20","46,080","154,660","252,120","232,135"
"Japan","2,270","5,715","8,860","8,985"
"Korea, North 21","140","70","45","135"
"Korea, South 22","11,230","29,365","46,560","40,860"
"Mongolia","0","40","890","865"
"Brunei Darussalam","2,545","725","305","150"
"Cambodia","13,805","2,690","3,065","2,175"
"Indonesia","1,870","2,605","4,810","4,115"
"Laos 23","8,830","1,435","550","270"
"Malaysia","8,070","4,630","4,980","3,550"
"Myanmar","760","1,430","4,265","1,930"
"Philippines","49,665","111,070","186,480","332,285"
"Singapore","2,815","2,525","3,270","2,355"
"Thailand","4,415","2,155","5,560","4,710"
"Timor-Leste","10","0","0","10"
"Viet Nam","78,520","37,870","20,035","25,075"
"Bangladesh","2,245","16,335","25,300","25,365"
"Bhutan","0","15","1,220","2,725"
"British Indian Ocean Territory","0","0","0","0"
"India","60,900","145,735","236,910","390,965"
"Maldives","0","10","10","15"
"Nepal","45","760","5,735","12,790"
"Pakistan","7,575","51,255","89,035","76,390"
"Sri Lanka","13,395","59,375","40,575","20,275"


Abbreviation notes:

List of abbreviations and acronyms found within various Census products.
(https://www12.statcan.gc.ca/census-recensement/2021/ref/symb-ab-acr-eng.cfm)



iBall:
i1,"Geography name: Canada; Geographic area type: Country; Geographic area type abbreviation: Country; Geographic level: Country; Province or territory abbreviation: ...; Dissemination Geography Unique Identifier (DGUID): 2021A000011124; Alternative geographic code: 01; Province or territory geocode: 01; Long-form total non-response rate: 4.3; Data quality flag: 20000; Data quality note: Excludes census data for one or more incompletely enumerated reserves or settlements."



Footnotes:
1,"Citizenship  Citizenship refers to the country where the person has citizenship. A person may have more than one citizenship. A person may be stateless, that is, they may have no citizenship. Citizenship can be by birth or naturalization."
2,"Age    'Age' refers to the age of a person (or subject) of interest at last birthday (or relative to a specified, well-defined reference date)."
3,"Gender  Gender refers to an individual's personal and social identity as a man, woman or non-binary person (a person who is not exclusively a man or a woman).   Gender includes the following concepts:   gender identity, which refers to the gender that a person feels internally and individually;   gender expression, which refers to the way a person presents their gender, regardless of their gender identity, through body language, aesthetic choices or accessories (e.g., clothes, hairstyle and makeup), which may have traditionally been associated with a specific gender.  A person's gender may differ from their sex at birth, and from what is indicated on their current identification or legal documents such as their birth certificate, passport or driver's licence. A person's gender may change over time.   Some people may not identify with a specific gender."
4,"Given that the non-binary population is small, data aggregation to a two-category gender variable is sometimes necessary to protect the confidentiality of responses provided. In these cases, individuals in the category “non-binary persons” are distributed into the other two gender categories and are denoted by the “+” symbol."
5,"Place of birth  Place of birth refers to the name of the geographic location where the person was born. The geographic location is specified according to geographic boundaries current at the time of data collection, not the geographic boundaries at the time of birth.  In the 2021 Census of Population, the geographic location refers to the name of the province, territory or country in which the person was born. It refers to a province or territory if the person was born in Canada. It refers to a country or area of interest if the person was born outside Canada."
6,"For more information on citizenship variables, including information on their classifications, the questions from which they are derived, data quality and their comparability with other sources of data, please refer to the Place of Birth, Generation Status, Citizenship and Immigration Reference Guide, Census of Population, 2021."
7,"Includes immigrants who were admitted to Canada on or prior to May 11, 2021."
8,"The official name of Bolivia is Plurinational State of Bolivia."
9,"The official name of Venezuela is Bolivarian Republic of Venezuela."
10,"The official name of Moldova is Republic of Moldova."
11,"Ireland is also referred to as Republic of Ireland."
12,"The official name of United Kingdom is United Kingdom of Great Britain and Northern Ireland. United Kingdom includes Scotland, Wales, England and Northern Ireland (excludes Isle of Man, the Channel Islands and British Overseas Territories)."
13,"The official name of Kosovo is Republic of Kosovo."
14,"Serbia excludes Kosovo."
15,"The official name of Tanzania is United Republic of Tanzania."
16,"The full name of Sudan is the Republic of the Sudan."
17,"The official name of Iran is Islamic Republic of Iran."
18,"The official name of Syria is Syrian Arab Republic."
19,"West Bank and Gaza Strip are the territories referred to in the Declaration of Principles, signed by Israel and the Palestine Liberation Organization in 1993. Includes responses of Palestine."
20,"China excludes Hong Kong and Macao."
21,"The official name of North Korea is Democratic People's Republic of Korea."
22,"The official name of South Korea is Republic of Korea."
23,"The official name of Laos is Lao People's Democratic Republic."



"How to cite: Statistics Canada. Table 98-10-0302-01  Immigrant status and period of immigration by place of birth and citizenship: Canada, provinces and territories and census metropolitan areas with parts"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=9810030201
